Sentiment,target_encoded,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Negative,0,18,283,47,919,66,16,1037,44,23,6,794,186,17,336,53,650,201,911,2,75,4,40,130,34,3308,36,20,96
Positive,1,6,1481,36,241,109,1,202,282,213,613,60,45,40,79,176,63,11,2002,640,59,897,6781,4,270,23,8,5,7
Positive,1,80,55,592,47,103,111,839,3394,146,575,1,1461,21,94,5688,201,69,20,37,109,1158,839,94,9,854,568,106,11
Positive,1,24,1074,368,6,13,12,10,976,103,111,81,77,4,62,21,15,2831,181,1,115,10,32,127,307,1,8,5,7
Positive,1,6,4946,47,141,265,33,44,57,4,995,366,6345,1860,330,2832,38,224,69,104,260,6003,22,1,32,25,337,13,12
Negative,0,1929,120,38,3232,44,309,199,40,291,436,204,636,38,76,26,40,84,2,996,2,2081,21,345,4,298,34,242,240
Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,10,20,682,80,5689,36,27,14,2305,2,532,224,230
Negative,0,25,103,111,4,111,1814,16,122,6346,52,87,15,126,1038,2566,176,22,1119,645,229,1902,182,13,12,2567,8,5,7
Negative,0,4,3593,16,2341,615,3,3,20,51,418,2,75,24,11,3,3,288,2,75,24,97,23,4,312,3777,8,5,7
Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,12,4947,10,1263,779,110,2892,407,1950,2059,8,5,7
Negative,0,0,0,0,0,0,0,0,0,0,0,0,1,4576,1483,7974,760,15,6782,64,513,10843,1611,8688,154,576,8,5,7
Negative,0,2568,8,5,7,60,517,40,1,4109,4,6347,31,1159,2,84,10,5402,97,23,15,20,7303,9,8689,870,3778,9631,2656
Positive,1,0,0,0,0,0,0,0,81,470,2,649,456,369,1462,3594,30,183,6783,172,1075,4,3013,256,2,4256,1,23,12
Positive,1,243,1,2766,44,2,189,15,1274,114,1401,6,2519,1930,27,182,49,39,5690,422,201,54,10844,2,39,99,1839,13,12
Positive,1,3309,4,107,10,274,24,1,8690,208,579,24,10,2472,4,987,3595,1970,2,124,2,129,60,28,49,79,8,5,7
Positive,1,0,0,5691,71,17,187,6348,1,951,81,3896,24,9632,23,34,116,39,2473,43,2109,24,1,411,358,6,13,12,6349
Negative,0,350,1048,732,91,19,80,10,87,14,26,239,1,186,10,41,1903,151,2110,59,589,53,1148,196,19,155,117,98,12
Positive,1,2,59,768,4,45,225,20,599,11,238,15,9,58,45,49,2425,48,1,9633,10,37,1,5403,404,1160,8,5,7
Positive,1,0,0,0,0,0,0,50,87,16,146,178,26,1859,2,1231,47,912,11,1,1161,252,39,2,117,33,8,5,7
Positive,1,65,98,2,75,85,738,20,175,1,9634,241,134,29,86,802,4,54,3691,33,40,421,131,752,199,14,21,738,7
Negative,0,0,0,0,2173,1463,40,2003,22,86,637,810,162,8691,83,1585,141,54,1464,15,71,1,6,176,40,31,8,5,7
Negative,0,0,0,0,0,0,50,139,89,2,1,32,25,1951,44,1465,48,285,24,59,3395,2569,2342,1,173,6,1,13,11
Negative,0,138,386,5,28,278,37,125,2266,4,2227,9635,2,149,165,4,65,98,18,27,2767,2,130,104,506,34,36,730,21
Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,171,3989,112,14,933,2,1,536,6,226,54,106
Positive,1,4,9637,1356,40,1321,30,14,1,46,451,4,1103,18,1685,539,860,305,22,100,1484,1210,507,2657,14,1014,92,518,632
Negative,0,11,129,54,74,2570,220,683,4,97,23,1466,22,1,401,6,1,5150,1245,30,1,11,67,7977,8,5,7,143,2426
Negative,0,34,581,163,3990,5404,16,1049,13,12,3,3,60,337,28,65,36,3990,46,5404,16,1625,310,3076,2,3990,15,1246,1971
Positive,1,17,49,1815,1881,53,38,2111,78,678,2571,1881,1733,11,3,3,41,1347,80,8,5,7,3,11,5,7,8,5,7
Negative,0,58,4257,425,34,532,160,4,295,22,1,32,25,83,359,72,68,98,145,201,39,141,3396,17,36,521,83,514,11
Negative,0,0,0,0,0,0,0,0,30,61,672,195,27,115,307,1,174,16,1,7305,2768,2520,72,66,1430,98,122,1952,36
Positive,1,0,0,0,0,0,50,17,29,2,84,48,2,169,63,1,11,67,279,2,29,86,382,452,8,5,7,143,2426
Positive,1,15,1402,2,249,64,1530,212,124,185,116,2618,258,3991,436,185,15,685,2,5151,2,417,69,20,13,12,8,5,7
Negative,0,234,739,65,235,19,844,214,638,19,322,29,33,4,234,739,332,33,2,366,408,86,6,1431,116,163,64,26,11
Positive,1,0,0,0,0,5405,3486,138,39,446,437,23,498,6,1,1904,2833,2833,63,1,11,67,10846,30,45,114,212,64,886
Positive,1,90,104,4577,49,4110,11,2141,4,7306,6004,2,616,934,64,21,136,524,4,2,3014,5692,3596,6,423,3,8,5,7
